TRD, 1.384615, 162
TRD, 2.730769, 167
TRD, 5.576923, 167
TRD, 6.230769, 165
TRD, 8.211538, 161
TRD, 8.326923, 162
TRD, 8.500000, 161
TRD, 9.038462, 162
TRD, 9.134615, 160
TRD, 9.307692, 159
TRD, 9.846154, 162
TRD, 9.961538, 160
TRD, 10.365385, 159
TRD, 11.807692, 161
TRD, 12.019231, 160
TRD, 13.480769, 159
TRD, 14.211538, 159
TRD, 14.788462, 159
TRD, 15.730769, 158
TRD, 16.423077, 156
TRD, 16.519231, 155
TRD, 16.923077, 160
TRD, 16.942308, 162
TRD, 17.615385, 159
TRD, 18.115385, 156
TRD, 18.576923, 161
TRD, 19.057692, 155
TRD, 19.903846, 154
TRD, 20.038462, 154
TRD, 20.557692, 155
TRD, 21.788462, 158
TRD, 22.134615, 157
TRD, 22.269231, 154
TRD, 23.326923, 160
TRD, 23.923077, 162
TRD, 24.692308, 157
TRD, 25.461538, 158
TRD, 25.634615, 157
TRD, 26.000000, 158
TRD, 26.115385, 158
TRD, 26.615385, 156
TRD, 26.884615, 158
TRD, 27.115385, 159
TRD, 27.480769, 156
TRD, 27.576923, 155
TRD, 28.750000, 154
TRD, 28.884615, 158
TRD, 29.692308, 151
TRD, 30.326923, 156
TRD, 30.346154, 158
TRD, 30.538462, 152
TRD, 30.730769, 159
TRD, 30.846154, 163
TRD, 31.557692, 150
TRD, 31.653846, 156
TRD, 34.000000, 152
TRD, 34.538462, 151
TRD, 35.884615, 151
TRD, 36.230769, 150
TRD, 36.480769, 152
TRD, 36.846154, 153
TRD, 37.019231, 153
TRD, 37.038462, 153
TRD, 39.115385, 156
TRD, 39.173077, 157
TRD, 39.480769, 154
TRD, 40.057692, 157
TRD, 40.230769, 158
TRD, 41.019231, 160
TRD, 41.423077, 160
TRD, 41.576923, 159
TRD, 43.096154, 163
TRD, 43.403846, 162
TRD, 43.461538, 160
TRD, 44.326923, 160
TRD, 44.884615, 161
TRD, 45.115385, 159
TRD, 45.884615, 162
TRD, 47.057692, 157
TRD, 47.730769, 159
TRD, 48.826923, 157
TRD, 49.076923, 156
TRD, 49.307692, 159
TRD, 49.769231, 157
TRD, 50.307692, 157
TRD, 50.711538, 163
TRD, 50.750000, 155
TRD, 51.442308, 155
TRD, 52.653846, 164
TRD, 52.692308, 158
TRD, 53.788462, 165
TRD, 54.403846, 159
TRD, 55.250000, 159
TRD, 55.807692, 160
TRD, 56.711538, 158
TRD, 56.865385, 159
TRD, 57.692308, 158
TRD, 58.480769, 158
TRD, 59.019231, 159
TRD, 59.230769, 163
TRD, 59.403846, 159
TRD, 59.538462, 163
TRD, 59.692308, 158
TRD, 60.288462, 168
TRD, 60.326923, 158
TRD, 60.615385, 164
TRD, 61.096154, 163
TRD, 61.596154, 157
TRD, 63.884615, 156
TRD, 64.230769, 160
TRD, 64.942308, 155
TRD, 65.000000, 160
TRD, 65.519231, 157
TRD, 66.692308, 159
TRD, 66.788462, 155
TRD, 67.423077, 154
TRD, 67.673077, 153
TRD, 67.730769, 153
TRD, 68.076923, 158
TRD, 69.326923, 165
TRD, 69.423077, 159
TRD, 70.538462, 165
TRD, 70.788462, 165
TRD, 71.269231, 164
TRD, 71.961538, 163
TRD, 72.384615, 162
TRD, 72.961538, 163
TRD, 73.192308, 162
TRD, 73.307692, 157
TRD, 73.423077, 163
TRD, 74.153846, 159
TRD, 74.884615, 163
TRD, 75.211538, 159
TRD, 75.365385, 158
TRD, 75.480769, 156
TRD, 75.923077, 157
TRD, 75.980769, 154
TRD, 76.115385, 161
TRD, 76.557692, 167
TRD, 76.846154, 158
TRD, 77.538462, 166
TRD, 77.596154, 158
TRD, 77.769231, 168
TRD, 78.961538, 179
TRD, 81.326923, 175
TRD, 83.153846, 172
TRD, 83.711538, 172
TRD, 84.307692, 171
TRD, 84.538462, 170
TRD, 85.038462, 158
TRD, 85.057692, 164
TRD, 85.076923, 165
TRD, 85.596154, 165
TRD, 88.173077, 160
TRD, 88.826923, 160
TRD, 89.134615, 159
TRD, 90.115385, 159
TRD, 90.230769, 160
TRD, 90.288462, 158
TRD, 90.442308, 158
TRD, 90.846154, 159
TRD, 90.923077, 157
TRD, 91.692308, 158
TRD, 93.057692, 155
TRD, 93.442308, 157
TRD, 93.750000, 154
TRD, 94.038462, 159
TRD, 94.692308, 160
TRD, 95.634615, 159
TRD, 95.942308, 160
TRD, 97.057692, 160
TRD, 97.288462, 157
TRD, 97.346154, 157
TRD, 98.692308, 161
TRD, 99.423077, 162
TRD, 100.115385, 153
TRD, 100.769231, 157
TRD, 100.980769, 156
TRD, 101.019231, 158
TRD, 102.884615, 157
TRD, 103.384615, 158
TRD, 103.519231, 158
TRD, 103.884615, 159
TRD, 103.980769, 159
TRD, 104.115385, 158
TRD, 104.269231, 152
TRD, 105.673077, 157
TRD, 105.692308, 159
TRD, 105.750000, 156
TRD, 106.326923, 154
TRD, 106.538462, 154
TRD, 107.326923, 151
TRD, 107.673077, 155
TRD, 108.307692, 158
TRD, 109.230769, 158
TRD, 109.288462, 160
TRD, 111.692308, 156
TRD, 111.788462, 155
TRD, 112.480769, 154
TRD, 112.596154, 155
TRD, 112.884615, 157
TRD, 112.903846, 158
TRD, 113.557692, 158
TRD, 114.230769, 154
TRD, 115.557692, 153
TRD, 115.826923, 158
TRD, 116.442308, 152
TRD, 116.557692, 151
TRD, 116.884615, 151
TRD, 117.057692, 157
TRD, 117.269231, 160
TRD, 118.346154, 147
TRD, 118.403846, 162
TRD, 118.826923, 155
TRD, 118.884615, 163
TRD, 119.442308, 155
TRD, 120.250000, 169
TRD, 120.269231, 161
TRD, 121.557692, 161
TRD, 121.807692, 158
TRD, 123.057692, 161
TRD, 123.615385, 161
TRD, 123.750000, 161
TRD, 123.961538, 158
TRD, 125.000000, 162
TRD, 125.307692, 161
TRD, 125.923077, 155
TRD, 126.788462, 158
TRD, 127.288462, 160
TRD, 127.538462, 161
TRD, 127.942308, 160
TRD, 128.769231, 159
TRD, 129.673077, 160
TRD, 129.884615, 160
TRD, 129.903846, 159
TRD, 130.019231, 161
TRD, 130.269231, 158
TRD, 130.384615, 160
TRD, 130.576923, 155
TRD, 130.596154, 154
TRD, 131.250000, 163
TRD, 132.923077, 159
TRD, 132.980769, 162
TRD, 134.019231, 160
TRD, 134.346154, 161
TRD, 134.576923, 162
TRD, 134.942308, 159
TRD, 135.076923, 158
TRD, 135.557692, 156
TRD, 135.576923, 148
TRD, 136.250000, 157
TRD, 138.038462, 149
TRD, 139.115385, 153
TRD, 139.461538, 159
TRD, 139.653846, 161
TRD, 140.269231, 159
TRD, 140.442308, 161
TRD, 141.384615, 161
TRD, 141.576923, 161
TRD, 142.519231, 161
TRD, 142.615385, 162
TRD, 143.538462, 160
TRD, 143.576923, 159
TRD, 145.807692, 157
TRD, 147.134615, 157
TRD, 147.673077, 157
TRD, 148.423077, 157
TRD, 148.961538, 156
TRD, 149.250000, 158
TRD, 149.326923, 156
TRD, 149.346154, 155
TRD, 149.480769, 158
TRD, 150.711538, 155
TRD, 151.615385, 158
TRD, 151.884615, 154
TRD, 151.980769, 160
TRD, 152.634615, 162
TRD, 152.673077, 163
TRD, 152.711538, 165
TRD, 153.307692, 158
TRD, 153.653846, 159
TRD, 154.115385, 159
TRD, 155.134615, 160
TRD, 155.173077, 160
TRD, 155.192308, 159
TRD, 155.250000, 161
TRD, 156.115385, 163
TRD, 156.461538, 163
TRD, 156.807692, 159
TRD, 157.269231, 163
TRD, 157.884615, 158
TRD, 158.115385, 155
TRD, 158.730769, 154
TRD, 159.365385, 151
TRD, 160.480769, 158
TRD, 160.500000, 161
TRD, 160.769231, 157
TRD, 161.576923, 151
TRD, 162.596154, 160
TRD, 162.769231, 161
TRD, 163.307692, 159
TRD, 163.403846, 164
TRD, 163.673077, 167
TRD, 164.000000, 169
TRD, 164.019231, 158
TRD, 164.326923, 153
TRD, 165.134615, 167
TRD, 165.980769, 167
TRD, 166.711538, 167
TRD, 167.173077, 169
TRD, 168.115385, 166
TRD, 168.134615, 166
TRD, 169.500000, 169
TRD, 169.615385, 166
TRD, 170.519231, 159
TRD, 171.307692, 158
TRD, 172.557692, 158
TRD, 173.134615, 157
TRD, 173.326923, 154
TRD, 173.384615, 158
TRD, 173.615385, 158
TRD, 173.923077, 155
TRD, 174.153846, 154
TRD, 174.250000, 154
TRD, 174.538462, 160
TRD, 175.326923, 161
TRD, 176.846154, 163
TRD, 177.096154, 160
TRD, 177.153846, 159
TRD, 177.442308, 163
TRD, 177.538462, 158
TRD, 178.711538, 158
TRD, 178.788462, 161
TRD, 179.711538, 161
TRD, 180.115385, 156
TRD, 180.192308, 162
TRD, 180.692308, 153
TRD, 181.557692, 162
TRD, 182.307692, 147
TRD, 183.519231, 151
TRD, 184.384615, 149
TRD, 184.903846, 148
TRD, 185.173077, 148
TRD, 186.307692, 153
TRD, 186.461538, 155
TRD, 186.538462, 164
TRD, 186.557692, 165
TRD, 186.750000, 148
TRD, 187.153846, 151
TRD, 187.769231, 153
TRD, 188.173077, 152
TRD, 189.173077, 150
TRD, 189.538462, 149
TRD, 189.615385, 150
TRD, 191.750000, 157
TRD, 192.057692, 156
TRD, 192.615385, 155
TRD, 193.038462, 155
TRD, 193.576923, 154
TRD, 194.019231, 154
TRD, 194.115385, 157
TRD, 194.615385, 152
TRD, 195.384615, 153
TRD, 196.711538, 159
TRD, 196.750000, 161
TRD, 197.192308, 155
TRD, 197.288462, 159
TRD, 197.653846, 157
TRD, 198.019231, 163
TRD, 198.057692, 164
TRD, 198.384615, 164
TRD, 199.019231, 160
TRD, 199.076923, 159
TRD, 199.192308, 157
TRD, 199.480769, 157
TRD, 200.346154, 162
TRD, 200.384615, 164
TRD, 200.653846, 159
TRD, 202.269231, 164
TRD, 202.788462, 164
TRD, 203.769231, 162
TRD, 204.019231, 159
TRD, 204.788462, 158
TRD, 205.326923, 156
TRD, 207.096154, 157
TRD, 207.865385, 159
TRD, 207.923077, 159
TRD, 208.346154, 159
TRD, 208.403846, 160
TRD, 208.480769, 159
TRD, 209.519231, 160
TRD, 209.538462, 159
TRD, 209.923077, 163
TRD, 210.615385, 164
TRD, 211.423077, 162
TRD, 211.538462, 165
TRD, 212.923077, 159
TRD, 213.596154, 166
TRD, 214.153846, 166
TRD, 214.903846, 165
TRD, 215.153846, 166
TRD, 215.423077, 164
TRD, 216.076923, 163
TRD, 216.807692, 163
TRD, 217.000000, 162
TRD, 217.096154, 164
TRD, 217.230769, 164
TRD, 217.326923, 162
TRD, 218.615385, 159
TRD, 219.230769, 159
TRD, 219.692308, 158
TRD, 220.711538, 158
TRD, 220.788462, 157
TRD, 221.096154, 156
TRD, 221.115385, 156
TRD, 222.173077, 158
TRD, 223.269231, 156
TRD, 223.346154, 154
TRD, 223.865385, 157
TRD, 224.846154, 157
TRD, 225.057692, 161
TRD, 226.942308, 159
TRD, 228.519231, 162
TRD, 229.326923, 162
TRD, 229.615385, 162
TRD, 229.903846, 161
TRD, 230.038462, 161
TRD, 230.538462, 162
TRD, 230.692308, 160
TRD, 231.230769, 160
TRD, 231.557692, 159
TRD, 232.000000, 159
TRD, 232.019231, 158
TRD, 232.557692, 159
TRD, 232.730769, 160
TRD, 232.750000, 161
TRD, 232.788462, 162
TRD, 233.269231, 158
TRD, 234.076923, 164
TRD, 234.500000, 156
TRD, 235.365385, 167
TRD, 235.961538, 165
TRD, 236.500000, 172
TRD, 236.730769, 166
TRD, 237.903846, 171
TRD, 239.057692, 168
TRD, 240.230769, 164
TRD, 240.596154, 163
TRD, 241.230769, 164
TRD, 241.769231, 162
TRD, 242.230769, 161
TRD, 242.384615, 159
TRD, 243.192308, 158
TRD, 243.211538, 160
TRD, 243.461538, 160
TRD, 244.173077, 159
TRD, 244.865385, 157
TRD, 245.538462, 159
TRD, 245.596154, 155
TRD, 245.980769, 163
